iter	Passed	Remaining
179	295	1348
180	296	1341
181	297	1335
182	297	1328
183	298	1322
184	298	1315
185	299	1309
186	299	1303
187	300	1296
188	300	1290
189	301	1284
190	301	1278
191	302	1273
192	303	1269
193	304	1263
194	304	1258
195	305	1253
196	306	1248
197	306	1243
198	307	1237
199	308	1233
200	308	1227
201	309	1222
202	309	1216
203	310	1211
204	310	1206
205	311	1200
206	311	1195
207	312	1190
208	313	1184
209	313	1179
210	314	1174
211	314	1169
212	315	1164
213	315	1159
214	316	1154
215	316	1149
216	317	1144
217	318	1140
218	318	1137
219	319	1133
220	320	1129
221	321	1125
222	321	1120
223	322	1116
224	322	1111
225	323	1107
226	323	1103
227	324	1098
228	324	1094
229	325	1089
230	326	1085
231	326	1081
232	327	1076
233	327	1072
234	328	1068
235	328	1064
236	329	1060
237	329	1056
238	330	1051
239	330	1047
240	331	1043
241	331	1039
242	332	1035
243	333	1032
244	334	1029
245	334	1026
246	335	1022
247	335	1018
248	336	1014
249	336	1010
250	337	1006
251	337	1002
252	338	998
253	338	995
254	339	991
255	339	987
256	340	984
257	341	980
258	341	977
259	342	973
260	342	970
261	343	966
262	343	963
263	344	959
264	344	956
265	345	953
266	346	949
267	346	946
268	347	943
269	347	939
270	348	937
271	349	934
272	349	931
273	350	928
274	350	924
275	351	921
276	351	918
277	352	915
278	352	912
279	353	908
280	354	905
281	354	902
282	355	899
283	355	896
284	355	893
285	356	889
286	357	887
287	357	884
288	358	881
289	358	878
290	359	875
291	359	872
292	360	869
293	360	866
294	361	863
295	361	860
296	362	858
297	363	855
298	363	852
299	364	850
300	365	847
301	365	845
302	366	842
303	366	839
304	367	837
305	367	834
306	368	831
307	369	829
308	369	826
309	370	823
310	370	820
311	371	818
312	371	815
313	372	813
314	372	811
315	373	808
316	374	806
317	374	804
318	375	801
319	376	799
320	376	797
321	377	794
322	378	792
323	378	790
324	379	788
325	380	786
326	380	783
327	381	781
328	381	778
329	382	776
330	383	774
331	383	771
332	384	769
333	384	766
334	385	764
335	385	762
336	386	759
337	386	757
338	387	755
339	387	753
340	388	750
341	388	748
342	389	746
343	390	743
344	390	741
345	391	739
346	391	737
347	392	734
348	392	732
349	393	730
350	393	728
351	394	726
352	395	724
353	395	722
354	396	720
355	397	718
356	397	716
357	398	714
358	398	712
359	399	710
360	400	708
361	400	706
362	401	704
363	401	702
364	402	700
365	403	698
366	403	696
367	404	694
368	404	691
369	405	689
370	405	687
371	406	685
372	406	683
373	407	681
374	407	679
375	408	677
376	408	675
377	409	673
378	409	671
379	410	670
380	411	668
381	412	666
382	412	664
383	413	662
384	413	660
385	414	658
386	414	656
387	415	654
388	415	652
389	416	651
390	416	649
391	417	647
392	417	645
393	418	643
394	418	641
395	419	639
396	419	637
397	420	635
398	420	634
399	421	632
400	421	630
401	422	628
402	422	626
403	423	624
404	423	622
405	424	620
406	425	619
407	426	618
408	426	616
409	427	614
410	427	613
411	428	611
412	429	609
413	429	608
414	430	606
415	430	604
416	431	602
417	431	601
418	432	599
419	432	597
420	433	596
421	434	594
422	434	592
423	435	591
424	435	589
425	436	587
426	436	586
427	437	584
428	437	582
429	438	581
430	438	579
431	439	577
432	440	576
433	440	575
434	441	573
435	442	571
436	442	570
437	443	568
438	443	567
439	444	565
440	444	563
441	445	562
442	445	560
443	446	559
444	446	557
445	447	555
446	448	554
447	448	553
448	449	551
449	450	550
450	450	548
451	451	547
452	451	545
453	452	544
454	452	542
455	453	541
456	454	539
457	454	538
458	455	536
459	456	535
460	456	534
461	457	532
462	458	531
463	458	529
464	459	528
465	459	527
466	460	525
467	461	524
468	461	522
469	462	521
470	462	519
471	463	518
472	464	517
473	464	515
474	465	514
475	466	513
476	466	511
477	467	510
478	467	508
479	468	507
480	468	506
481	469	504
482	470	503
483	470	501
484	471	500
485	471	499
486	472	497
487	472	496
488	473	494
